id,predicted,predicted_probability
id_206,0,0.1165734
id_207,1,0.5433124
id_208,0,0.13594785
id_209,0,0.3721747
id_210,0,0.030468922
id_211,0,0.10666485
id_212,0,0.059213255
id_213,0,0.18690875
id_214,0,0.10743819
id_215,0,0.1023327
id_216,0,0.13903004
id_217,0,0.21340904
id_218,0,0.14590469
id_219,0,0.027930932
id_220,0,0.2062934
id_221,0,0.10016472
id_222,0,0.22490163
id_223,0,0.2879468
id_224,0,0.22461864
id_225,0,0.10902802
id_226,0,0.12536335
id_227,0,0.21985415
id_228,0,0.13082673
id_229,0,0.18035056
id_230,0,0.040079925
id_231,0,0.2065941
id_232,0,0.49751368
id_233,0,0.366944
id_234,0,0.3571972
id_235,0,0.12536335
id_236,0,0.1161656
id_237,0,0.12536335
id_238,0,0.037294466
id_239,0,0.33406362
id_240,0,0.056611445
id_241,0,0.12536335
id_242,0,0.12536335
id_243,0,0.3659661
id_244,0,0.12536335
id_245,0,0.4092812
id_246,0,0.053275377
id_247,0,0.06040908
id_248,0,0.029332025
id_249,0,0.12536335
id_250,0,0.059802305
id_251,0,0.16039257
id_252,0,0.26496089
id_253,0,0.16037662
id_254,0,0.07486224
id_255,0,0.09650723
id_256,0,0.14147459
id_257,0,0.052331164
id_258,0,0.11666584
id_259,0,0.063365735
id_260,0,0.18100914
id_261,0,0.23798668
id_262,0,0.21528779
id_263,0,0.043263543
id_264,0,0.1502789
id_265,0,0.061799742
id_266,0,0.17274766
id_267,0,0.07928461
id_268,0,0.03927611
id_269,0,0.16391687
id_270,0,0.037434597
id_271,0,0.013643821
id_272,0,0.18399593
id_273,0,0.16801879
id_274,0,0.30964828
id_275,0,0.101889804
id_276,0,0.29374686
id_277,0,0.040565655
id_278,0,0.06278891
id_279,0,0.16855448
id_280,0,0.25564054
id_281,0,0.18073893
id_282,0,0.16950543
id_283,0,0.095980905
id_284,0,0.036236547
id_285,0,0.16840437
id_286,0,0.37197444
id_287,1,0.59354085
id_288,0,0.1664483
id_289,0,0.06017074
id_290,0,0.09934339
id_291,0,0.12581965
id_292,0,0.06140356
id_293,0,0.12459203
id_294,0,0.18055765
id_295,0,0.35654965
id_296,0,0.15881899
id_297,0,0.13308813
id_298,0,0.10636459
id_299,0,0.22311772
id_300,0,0.31827834
id_301,0,0.25689882
id_302,0,0.15221995
id_303,0,0.030834304
id_304,1,0.67784244
id_305,0,0.4658068
id_306,0,0.031492177
id_307,0,0.07263855
id_308,0,0.082988285
id_309,0,0.16728267
id_310,0,0.27270293
id_311,0,0.028097834
id_312,0,0.20947748
id_313,0,0.05477852
id_314,0,0.07107151
id_315,0,0.050891984
id_316,0,0.03849008
id_317,0,0.050925076
id_318,0,0.334218
id_319,0,0.13049662
id_320,0,0.06480299
id_321,0,0.09867906
id_322,0,0.084360115
id_323,0,0.22182642
id_324,0,0.10192931
id_325,0,0.029006302
id_326,0,0.099122204
id_327,0,0.39153114
id_328,0,0.121070296
id_329,0,0.1230656
id_330,0,0.1453255
id_331,0,0.08290459
id_332,0,0.1644601
id_333,0,0.023965186
id_334,0,0.2534017
id_335,0,0.05227974
id_336,0,0.19116677
id_337,0,0.05583845
id_338,0,0.18259019
id_339,0,0.06493117
id_340,0,0.27568087
id_341,0,0.23438103
id_342,0,0.14945002
id_343,0,0.24487753
id_344,0,0.15831861
id_345,0,0.32289782
id_346,0,0.13874485
id_347,0,0.14979224
id_348,0,0.042047672
id_349,0,0.06533663
id_350,0,0.22931337
id_351,0,0.09754094
id_352,0,0.17668103
id_353,0,0.1510998
id_354,0,0.0460419
id_355,0,0.027284317
id_356,0,0.10172727
id_357,0,0.36549217
id_358,0,0.16764213
id_359,0,0.07792616
id_360,0,0.25290886
id_361,0,0.059681498
id_362,0,0.042638235
id_363,0,0.1569377
id_364,0,0.10693338
id_365,0,0.048003852
id_366,0,0.042598315
id_367,0,0.06748705
id_368,0,0.14896844
id_369,0,0.1780948
id_370,0,0.24152137
id_371,0,0.13853961
id_372,0,0.07120438
id_373,0,0.055113018
id_374,0,0.07837358
id_375,0,0.088982895
id_376,0,0.04275508
id_377,0,0.18742721
id_378,0,0.24868014
id_379,0,0.13155678
id_380,0,0.06591516
id_381,0,0.28096578
id_382,0,0.18511115
id_383,0,0.10871428
id_384,0,0.17933825
id_385,0,0.029472888
id_386,0,0.047483183
id_387,0,0.100535914
id_388,0,0.24657089
id_389,0,0.036534533
id_390,0,0.047056682
id_391,0,0.09700727
id_392,0,0.050896946
id_393,0,0.110154375
id_394,0,0.2595903
id_395,0,0.04949422
id_396,0,0.034622464
id_397,0,0.20391718
id_398,0,0.11487437
id_399,0,0.10332151
id_400,0,0.08515298
id_401,0,0.17688143
id_402,0,0.082024276
id_403,0,0.11487437
id_404,0,0.11487437
id_405,0,0.20452182
id_406,0,0.03260082
id_407,0,0.0506645
id_408,0,0.073153004
id_409,0,0.22683229
id_410,0,0.036188144
id_411,0,0.1709197
id_412,0,0.16061978
id_413,0,0.036188144
id_414,0,0.023996681
id_415,0,0.33695084
id_416,0,0.036188144
id_417,0,0.11487437
id_418,0,0.036188144
id_419,0,0.24501838
id_420,0,0.036188144
id_421,0,0.11487437
id_422,0,0.036188144
id_423,0,0.022513296
id_424,0,0.11487437
id_425,0,0.053385973
id_426,0,0.036188144
id_427,0,0.10353419
id_428,0,0.11487437
id_429,0,0.098816186
id_430,0,0.017537832
id_431,0,0.31680053
id_432,0,0.2595839
id_433,0,0.07163598
id_434,0,0.2430867
id_435,0,0.023242228
id_436,0,0.32343298
id_437,0,0.42630154
id_438,0,0.07787723
id_439,0,0.011835742
id_440,0,0.035243362
id_441,0,0.21193244
id_442,0,0.039240617
id_443,0,0.27715948
id_444,0,0.024506537
id_445,0,0.031461094
id_446,0,0.15363134
id_447,0,0.23466665
id_448,0,0.11487437
id_449,0,0.19549526
id_450,0,0.21734384
id_451,0,0.16206591
id_452,1,0.74343884
id_453,0,0.036188144
id_454,0,0.122068614
id_455,0,0.065595835
id_456,0,0.067246675
id_457,0,0.1107042
id_458,0,0.07053589
id_459,0,0.13156536
id_460,0,0.13372084
id_461,0,0.076001056
id_462,0,0.09216146
id_463,0,0.08779495
id_464,0,0.27473703
id_465,0,0.042317346
id_466,0,0.13010338
id_467,0,0.3794913
id_468,0,0.25677988
id_469,0,0.17100418
id_470,0,0.17901868
id_471,0,0.083642796
id_472,0,0.3249048
id_473,0,0.09481054
id_474,0,0.13546489
id_475,0,0.3384526
id_476,0,0.07430763
id_477,0,0.11467637
id_478,0,0.045936868
id_479,0,0.29479358
id_480,0,0.42911887
id_481,0,0.2444695
id_482,0,0.14999983
id_483,0,0.14303786
id_484,0,0.08276823
id_485,0,0.010110906
id_486,0,0.09808617
id_487,0,0.2037497
id_488,0,0.081082664
id_489,0,0.010141612
id_490,0,0.05046084
id_491,0,0.043521658
id_492,0,0.20139594
id_493,0,0.09624855
id_494,0,0.1086684
id_495,0,0.26131415
id_496,0,0.08651949
id_497,0,0.1261141
id_498,0,0.040481705
id_499,0,0.12894633
id_500,0,0.13398184
id_501,0,0.08716407
id_502,0,0.096003145
id_503,0,0.46428698
id_504,0,0.14716104
id_505,0,0.16273844
id_506,0,0.18062674
id_507,0,0.08855911
id_508,0,0.17670329
id_509,0,0.19523542
id_510,0,0.1377014
id_511,0,0.07662776
id_512,0,0.22212125
id_513,0,0.06888115
id_514,0,0.07370586
id_515,1,0.5125458
id_516,1,0.6386355
id_517,0,0.17800377
id_518,0,0.14481077
id_519,0,0.041510075
id_520,0,0.07808479
id_521,0,0.14813894
id_522,0,0.01710018
id_523,0,0.1717614
id_524,0,0.10385647
id_525,0,0.27351242
id_526,0,0.17661515
id_527,0,0.14845613
id_528,0,0.02031958
id_529,0,0.2734133
id_530,0,0.14388387
id_531,0,0.10611181
id_532,0,0.23453897
id_533,0,0.13827944
id_534,0,0.03624036
id_535,0,0.09247048
id_536,0,0.20562652
id_537,0,0.019463211
id_538,0,0.023470465
id_539,0,0.022983538
id_540,0,0.092885226
id_541,0,0.19934185
id_542,0,0.050422937
id_543,0,0.25186718
id_544,0,0.32144836
id_545,0,0.13807856
id_546,0,0.19684471
id_547,0,0.021808203
id_548,0,0.013712448
id_549,0,0.06802255
id_550,0,0.034327183
id_551,0,0.160196
id_552,0,0.25628105
id_553,0,0.13173644
id_554,0,0.059151232
id_555,0,0.15221709
id_556,0,0.13992655
id_557,0,0.08893161
id_558,0,0.05660737
id_559,0,0.072395675
id_560,0,0.12060916
id_561,0,0.07477629
id_562,0,0.035455614
id_563,0,0.034173965
id_564,0,0.27747124
id_565,0,0.34214103
id_566,0,0.2286539
id_567,0,0.31989792
id_568,0,0.2333397
id_569,0,0.24976383
id_570,0,0.10804644
id_571,0,0.37101287
id_572,0,0.07689721
id_573,0,0.25461015
id_574,0,0.048195217
id_575,0,0.30668193
id_576,0,0.03785818
id_577,0,0.0902936
id_578,0,0.14943199
id_579,0,0.10013071
id_580,0,0.09830363
id_581,0,0.060487334
id_582,0,0.13209224
id_583,0,0.02258942
id_584,0,0.034900457
id_585,1,0.5859383
id_586,0,0.16370682
id_587,0,0.37224546
id_588,0,0.21265921
id_589,0,0.123217165
id_590,0,0.062122285
id_591,0,0.07997959
id_592,0,0.21759485
id_593,0,0.042474847
id_594,0,0.30388525
id_595,0,0.060376357
id_596,0,0.18791968
id_597,0,0.051705074
id_598,0,0.47428766
id_599,0,0.35294744
id_600,0,0.04982328
id_601,0,0.08821811
id_602,0,0.16349103
id_603,0,0.20715354
id_604,0,0.066130675
id_605,0,0.037520748
id_606,0,0.2797264
id_607,0,0.16578946
id_608,0,0.026704447
id_609,0,0.02258942
id_610,0,0.02258942
id_611,0,0.12812631
id_612,0,0.2988945
id_613,0,0.11739536
id_614,0,0.07412071
id_615,0,0.02258942
id_616,0,0.02258942
id_617,0,0.14313358
id_618,0,0.1201984
id_619,0,0.1586142
id_620,0,0.08569232
id_621,0,0.06783005
id_622,0,0.30737075
id_623,0,0.24755926
id_624,0,0.076009296
id_625,0,0.025243662
id_626,0,0.11654662
id_627,0,0.15338036
id_628,0,0.13569468
id_629,0,0.28270635
id_630,0,0.075731754
id_631,0,0.1458567
id_632,0,0.41817096
id_633,0,0.02258942
id_634,0,0.105911195
id_635,0,0.3997502
id_636,0,0.09046684
id_637,0,0.036328856
id_638,0,0.13525961
id_639,0,0.025689157
id_640,0,0.02258942
id_641,0,0.02258942
id_642,0,0.0808603
id_643,1,0.558892
id_644,0,0.14945664
id_645,0,0.027867042
id_646,0,0.20491658
id_647,0,0.10795211
id_648,0,0.029740445
id_649,0,0.11883723
id_650,0,0.35798976
id_651,0,0.29319268
id_652,1,0.5305813
id_653,0,0.025390226
id_654,0,0.13372914
id_655,0,0.1941426
id_656,0,0.044555895
id_657,0,0.10084878
id_658,0,0.04293954
id_659,0,0.15831885
id_660,0,0.1506081
id_661,0,0.033634204
id_662,0,0.26333722
id_663,0,0.3187775
id_664,0,0.028147222
id_665,0,0.09031313
id_666,0,0.21578406
id_667,0,0.31297112
id_668,0,0.1367685
id_669,0,0.19144785
id_670,0,0.38041097
id_671,0,0.14999983
id_672,0,0.126845
id_673,0,0.041538786
id_674,0,0.060826946
id_675,0,0.058205687
id_676,0,0.08896488
id_677,0,0.16286352
id_678,0,0.061485518
id_679,0,0.07048499
id_680,0,0.08691282
id_681,0,0.035767585
id_682,0,0.16804184
id_683,0,0.06821694
id_684,0,0.10681024
id_685,0,0.08575058
id_686,0,0.38748753
id_687,0,0.09777513
id_688,0,0.016849108
id_689,0,0.20014617
id_690,0,0.08910937
id_691,0,0.03453759
id_692,0,0.08172604
id_693,0,0.06643095
id_694,0,0.29104304
id_695,0,0.34446144
id_696,0,0.14648108
id_697,0,0.08162202
id_698,0,0.09725036
id_699,0,0.08268774
id_700,0,0.11507084
id_701,0,0.052720603
id_702,0,0.037541434
id_703,0,0.059362926
id_704,1,0.57590896
id_705,0,0.28797275
id_706,1,0.57590896
id_707,0,0.19024622
id_708,0,0.10066181
id_709,0,0.067819916
id_710,0,0.09915267
id_711,0,0.44720867
id_712,1,0.53837013
id_713,0,0.151894
id_714,0,0.17960052
id_715,1,0.57590896
id_716,0,0.44389382
id_717,0,0.32442948
id_718,0,0.09065151
id_719,1,0.57590896
id_720,1,0.57590896
id_721,1,0.57590896
id_722,1,0.57590896
id_723,0,0.28893036
id_724,0,0.094107434
id_725,0,0.043567065
id_726,0,0.05252432
id_727,0,0.095059134
id_728,0,0.31174096
id_729,1,0.6783474
id_730,0,0.056971844
id_731,0,0.0835653
id_732,0,0.119380176
id_733,0,0.4594422
id_734,0,0.26548684
id_735,0,0.22028334
id_736,0,0.19373533
id_737,0,0.11474886
id_738,0,0.18361448
id_739,0,0.086421646
id_740,0,0.03946029
id_741,0,0.12386003
id_742,0,0.013414407
id_743,1,0.57590896
id_744,0,0.16626796
id_745,0,0.095961474
id_746,0,0.093666
id_747,0,0.24679177
id_748,0,0.26195753
id_749,0,0.07273793
id_750,1,0.54486626
id_751,0,0.041087892
id_752,0,0.22744954
id_753,0,0.09235416
id_754,0,0.07263182
id_755,0,0.05367834
id_756,0,0.01532662
id_757,0,0.3489261
id_758,0,0.1327259
id_759,0,0.022873932
id_760,0,0.16681162
id_761,0,0.4014063
id_762,0,0.04208067
id_763,0,0.26430428
id_764,0,0.1329416
id_765,0,0.3029593
id_766,0,0.16213574
id_767,0,0.2832179
id_768,0,0.111419864
id_769,0,0.19178122
id_770,0,0.07387976
id_771,0,0.02919116
id_772,0,0.12057974
id_773,0,0.21481945
id_774,0,0.065245815
id_775,0,0.1041079
id_776,0,0.19694248
id_777,0,0.0790209
id_778,0,0.22787987
id_779,0,0.074929096
id_780,0,0.21273726
id_781,0,0.08961862
id_782,0,0.08339346
id_783,0,0.027109953
id_784,0,0.11838646
id_785,0,0.030283805
id_786,0,0.07124908
id_787,0,0.16747734
id_788,0,0.1364733
id_789,0,0.032617643
id_790,0,0.030957194
id_791,0,0.40019307
id_792,0,0.036435355
id_793,0,0.06630837
id_794,1,0.51007646
id_795,0,0.054638512
id_796,0,0.20375755
id_797,1,0.5267366
id_798,1,0.5626148
id_799,0,0.13363515
id_800,0,0.06546598
id_801,0,0.15455224
id_802,0,0.08336346
id_803,0,0.14486669
id_804,0,0.08474324
id_805,0,0.22616056
id_806,0,0.09361404
id_807,0,0.38357988
id_808,0,0.25966462
id_809,0,0.11076869
id_810,0,0.06876553
id_811,0,0.20142464
id_812,0,0.15697324
id_813,0,0.019027865
id_814,0,0.2691588
id_815,0,0.10070983
id_816,0,0.02511298
id_817,0,0.17582914
id_818,0,0.09953947
id_819,0,0.070209876
id_820,0,0.10874545
id_821,0,0.089239895
id_822,0,0.116078064
id_823,0,0.14262772
id_824,0,0.36019516
id_825,0,0.10720052
id_826,0,0.09856884
id_827,0,0.19371997
id_828,0,0.40933505
id_829,0,0.065287724
id_830,0,0.31241322
id_831,0,0.3822281
id_832,0,0.4325654
id_833,0,0.13228099
id_834,0,0.2018152
id_835,0,0.18517421
id_836,0,0.070954874
id_837,0,0.3991451
id_838,0,0.06308127
id_839,0,0.2752977
id_840,0,0.049285676
id_841,0,0.10933614
id_842,0,0.25002727
id_843,0,0.12316511
id_844,0,0.03021322
id_845,0,0.051569194
id_846,0,0.038324073
id_847,0,0.13193466
id_848,0,0.13124381
id_849,0,0.20002472
id_850,0,0.31477588
id_851,0,0.18109167
id_852,0,0.07244231
id_853,0,0.14921118
id_854,0,0.049648263
id_855,0,0.2147267
id_856,0,0.11448981
id_857,0,0.07133592
id_858,0,0.07181854
id_859,0,0.16106385
id_860,0,0.07144789
id_861,0,0.06920573
id_862,0,0.15067913
id_863,0,0.06591133
id_864,0,0.3436442
id_865,0,0.26947516
id_866,0,0.10546349
id_867,0,0.3446308
id_868,0,0.08911652
id_869,0,0.17484865
id_870,0,0.12594423
id_871,0,0.22880664
id_872,0,0.22423264
id_873,0,0.07677127
id_874,0,0.13473639
id_875,0,0.071014434
id_876,0,0.07223699
id_877,0,0.21461986
id_878,0,0.0583706
id_879,0,0.05246315
id_880,1,0.54781866
id_881,0,0.1146397
id_882,0,0.09367019
id_883,0,0.055168297
id_884,0,0.06934178
id_885,0,0.13612318
id_886,0,0.17242657
id_887,0,0.2088041
id_888,0,0.058698084
id_889,0,0.17531942
id_890,0,0.10098803
id_891,0,0.3813263
id_892,0,0.06136558
id_893,0,0.2330317
id_894,0,0.1179253
id_895,0,0.093048416
id_896,0,0.037659563
id_897,0,0.10478444
id_898,0,0.11363132
id_899,0,0.035568114
id_900,0,0.021686176
id_901,0,0.08026059
id_902,0,0.018969577
id_903,0,0.113741666
id_904,0,0.16550949
id_905,0,0.09912356
id_906,0,0.056785
id_907,0,0.15479618
id_908,0,0.1748869
id_909,0,0.11880228
id_910,0,0.2202841
id_911,0,0.024408784
id_912,0,0.15657562
id_913,0,0.022628166
id_914,0,0.14139968
id_915,0,0.23102494
id_916,0,0.22805867
id_917,0,0.11225981
id_918,0,0.12064687
id_919,0,0.015094162
id_920,0,0.26011056
id_921,0,0.06288981
id_922,0,0.12886007
id_923,0,0.12581074
id_924,0,0.032245986
id_925,0,0.059044827
id_926,0,0.22951712
id_927,0,0.21283971
id_928,0,0.46123794
id_929,0,0.11244705
id_930,0,0.3292969
id_931,0,0.19979182
id_932,0,0.19246182
id_933,0,0.066125944
id_934,0,0.13150728
id_935,0,0.121369034
id_936,0,0.26745868
id_937,0,0.110426694
id_938,0,0.134028
id_939,0,0.08318234
id_940,0,0.08263396
id_941,0,0.06746253
id_942,0,0.4891894
id_943,0,0.16367316
id_944,0,0.124318756
id_945,0,0.2024036
id_946,0,0.104977824
id_947,0,0.12555663
id_948,0,0.14124641
id_949,0,0.14710742
id_950,0,0.05705037
id_951,0,0.014395502
id_952,0,0.27863368
id_953,0,0.16258754
id_954,0,0.16242984
id_955,0,0.059683535
id_956,0,0.41664594
id_957,0,0.064683035
id_958,0,0.10557582
id_959,0,0.044803794
id_960,0,0.25283042
id_961,0,0.03700478
id_962,0,0.2156851
id_963,0,0.15988378
id_964,0,0.19009855
id_965,0,0.22407228
id_966,0,0.4336585
id_967,0,0.40332845
id_968,0,0.37285075
id_969,0,0.12238688
id_970,0,0.016259482
id_971,0,0.15348142
id_972,0,0.20095468
id_973,0,0.10438851
id_974,0,0.06622175
id_975,0,0.031180432
id_976,0,0.13516265
id_977,0,0.015469406
id_978,0,0.21905784
id_979,0,0.43511608
id_980,0,0.41186678
id_981,0,0.11383005
id_982,0,0.13333048
id_983,0,0.09472835
id_984,0,0.027498962
id_985,0,0.14263426
id_986,0,0.3633008
id_987,0,0.05163262
id_988,0,0.015673703
id_989,0,0.21329553
id_990,0,0.35042962
id_991,0,0.02903618
id_992,0,0.0892154
id_993,0,0.14622527
id_994,0,0.22239628
id_995,0,0.24119768
id_996,0,0.33826894
id_997,0,0.08944809
id_998,0,0.18568899
id_999,0,0.10300572
id_1000,0,0.01586583
id_1001,0,0.1307707
id_1002,0,0.017027646
id_1003,0,0.14435157
id_1004,0,0.03675004
id_1005,0,0.27727342
id_1006,0,0.25087732
id_1007,0,0.1930542
id_1008,0,0.069197044
id_1009,0,0.14340162
id_1010,0,0.037919804
id_1011,0,0.35699826
id_1012,0,0.27580994
id_1013,0,0.041667685
id_1014,0,0.066412985
id_1015,0,0.21373017
id_1016,0,0.03491785
id_1017,0,0.17690073
id_1018,0,0.05709062
id_1019,0,0.18555985
id_1020,0,0.21165226
id_1021,0,0.10163254
id_1022,0,0.14543599
id_1023,0,0.055790443
id_1024,0,0.24881141
id_1025,0,0.35793912
id_1026,0,0.37517866
id_1027,0,0.08175522
id_1028,0,0.12289667
id_1029,0,0.12546308
id_1030,0,0.101920396
id_1031,0,0.057462603
id_1032,0,0.036490336
id_1033,0,0.086376384
id_1034,0,0.14689572
id_1035,0,0.15156788
id_1036,0,0.09207411
id_1037,0,0.19730237
id_1038,0,0.1608532
id_1039,0,0.29358032
id_1040,0,0.099944755
id_1041,0,0.20990874
id_1042,0,0.16417906
id_1043,0,0.066586226
id_1044,0,0.088465504
id_1045,0,0.30928203
id_1046,0,0.05403879
id_1047,0,0.13739598
id_1048,0,0.036819354
id_1049,0,0.29723802
id_1050,0,0.18860643
id_1051,0,0.020979136
id_1052,0,0.49183
id_1053,0,0.23393385
id_1054,0,0.14374049
id_1055,0,0.09916839
id_1056,0,0.07499392
id_1057,0,0.17155851
id_1058,0,0.088198766
id_1059,0,0.1729151
id_1060,0,0.08480556
id_1061,0,0.07734659
id_1062,1,0.51500547
id_1063,0,0.15015276
id_1064,0,0.09412756
id_1065,0,0.13590977
id_1066,0,0.04416067
id_1067,0,0.04784113
id_1068,0,0.07162209
id_1069,0,0.24719296
id_1070,0,0.17582372
id_1071,0,0.11756474
id_1072,0,0.15346414
id_1073,0,0.10512268
id_1074,1,0.51611286
id_1075,0,0.32803845
id_1076,0,0.026394181
id_1077,0,0.17557713
id_1078,0,0.08343638
id_1079,0,0.22041143
id_1080,0,0.05797391
id_1081,0,0.2350409
id_1082,0,0.2914124
id_1083,0,0.028047143
id_1084,0,0.19020867
id_1085,0,0.10313987
id_1086,0,0.026195955
id_1087,0,0.33641648
id_1088,0,0.0534768
id_1089,0,0.030613434
id_1090,0,0.25233883
id_1091,0,0.42725837
id_1092,0,0.01793321
id_1093,0,0.05864269
id_1094,0,0.18009344
id_1095,0,0.033017788
id_1096,0,0.047828924
id_1097,0,0.1261694
id_1098,0,0.21399078
id_1099,0,0.06668455
id_1100,0,0.090105034
id_1101,0,0.159299
id_1102,0,0.110919364
id_1103,0,0.07397285
id_1104,0,0.030902246
id_1105,0,0.045476913
id_1106,1,0.68762535
id_1107,0,0.27965084
id_1108,0,0.1619184
id_1109,0,0.1619184
id_1110,0,0.1619184
id_1111,0,0.050768934
id_1112,0,0.1619184
id_1113,0,0.03165528
id_1114,0,0.20089148
id_1115,0,0.1619184
id_1116,0,0.1619184
id_1117,0,0.1619184
id_1118,0,0.1619184
id_1119,0,0.34901023
id_1120,0,0.043009114
id_1121,0,0.10500132
id_1122,0,0.07614623
id_1123,0,0.062566265
id_1124,0,0.083196506
id_1125,0,0.05540603
id_1126,0,0.15755816
id_1127,0,0.01196218
id_1128,0,0.08998421
id_1129,0,0.28513294
id_1130,0,0.032719374
id_1131,0,0.1864431
id_1132,0,0.05612137
id_1133,0,0.09305807
id_1134,0,0.2199245
id_1135,0,0.21786365
id_1136,0,0.060398977
id_1137,0,0.06649446
id_1138,0,0.072481155
id_1139,0,0.188419
id_1140,0,0.17529184
id_1141,0,0.35760713
id_1142,0,0.07097118
id_1143,0,0.050332822
id_1144,0,0.1170041
id_1145,0,0.0431014
id_1146,1,0.5301279
id_1147,0,0.22901583
id_1148,0,0.041771587
id_1149,1,0.5380689
id_1150,0,0.061504595
id_1151,0,0.21339068
id_1152,0,0.07447807
